path,mtime,words,heading_1,heading_2,heading_3,heading_4,heading_5
docs/deployment/guide.md,2025-09-20 08:58:23,101,Prism Apex Tool — Deployment Guide,Local Development,Docker,GitHub Actions,Server Deployment
docs/deployment/hardening.md,2025-09-20 08:58:23,85,Production Hardening — Prism Apex Tool,Overview,Key Safeguards,Steps,
docs/dev/quickstart.md,2025-09-20 08:58:23,230,Prism Apex – Dev Quickstart,0) Prereqs,1) Seed the API store (safe demo state),2) Run a sample backtest (ORB on ES 1m),3) Full demo script
docs/export.md,2025-09-20 08:58:23,120,Ticket export,JSON example,CSV example,,
docs/multi-account/guide.md,2025-09-20 08:58:23,210,Multi-Account Management — Operator Guide,What This Does,Plain English Rules,How to Use,Alerts & Logs
docs/notifications/guide.md,2025-09-20 08:58:23,96,Prism Apex Tool — Notifications Guide,What It Does,How to Set Up,Test It,Notification Flow
docs/operator-console.md,2025-09-20 08:58:23,500,,,,,
docs/operator/handbook.md,2025-09-20 08:58:23,594,Prism Apex Tool – Operator Handbook,1. Start of Day Checklist,Step-by-step,2. During Session,2.1 Inputting Trades
docs/operator/quick-cards/cheat-sheet.md,2025-09-20 08:58:23,133,Cheat Sheet — Terms & Times,Terms (Plain English),Times (GMT),Quick Math,Do / Don’t
docs/operator/quick-cards/eod-flat.md,2025-09-20 08:58:23,92,Quick Card — End-of-Day Flat (21:59 GMT),Timeline (GMT),Steps,Do / Don’t,
docs/operator/quick-cards/execute-ticket.md,2025-09-20 08:58:23,139,Quick Card — Execute a Ticket (Tradovate Manual Entry),Steps,Checks,Do / Don’t,
docs/operator/quick-cards/incidents-&-escalation.md,2025-09-20 08:58:23,91,Quick Card — Incidents & Escalation,Common Incidents,Escalation Path,Break-Glass,
docs/operator/quick-cards/monitor-&-alerts.md,2025-09-20 08:58:23,103,Quick Card — Monitor & Alerts,Alert Types,What To Do,Tools,
docs/operator/quick-cards/sod-checklist.md,2025-09-20 08:58:23,102,Quick Card — Start of Day (SOD),Checklist,Do / Don’t,,
docs/operator/training-deck.md,2025-09-20 08:58:23,322,Prism Apex Tool — Operator Training Deck (MVP),1) Context & Roles,2) Daily Flow (High-Level),3) Tickets (Plain English),4) Alerts (What They Mean)
docs/payouts/calendar.md,2025-09-20 08:58:23,115,Prism Apex Tool — Payout Calendar,Rules Recap,Current Account Example,Mermaid Flow,
docs/release/checklist.md,2025-09-20 08:58:23,104,Release Checklist — Prism Apex Tool,Preflight,Operator Signoff,PM Signoff,Release
docs/release/go-live-checklist.md,2025-09-20 08:58:23,543,Prism Apex Tool — Go-Live Master Checklist (Oct 1),1) Infrastructure & Deploy,2) Configuration & Secrets,3) Notifications (at least one must work),4) Signals & Tickets (MVP manual flow)
docs/release/operator_signoff.md,2025-09-20 08:58:23,94,Operator Release Signoff — Plain English,Why This Matters,What You Do,,
docs/release/runbook-rollback.md,2025-09-20 08:58:23,220,Prism Apex Tool — Rollback & Incident Runbook,1) Immediate Actions,2) Quick Diagnostics (5–10 min),3) Rollback (Tag N → N-1),4) Data Safety
docs/release/sign-off-template.md,2025-09-20 08:58:23,161,Prism Apex Tool — Executive Go-Live Sign-Off,Summary,Readiness Checklist Status,Residual Risks (Known & Accepted),Approval
docs/release/uat-scenarios.md,2025-09-20 08:58:23,613,Prism Apex Tool — UAT Scenarios & Scripts,Legend,UAT-01 Health & Deploy,UAT-02 Notifications (Slack or Email),UAT-03 Signal Preview — ORB
docs/rules/overview.md,2025-09-20 08:58:23,299,PrismOne Rules Overview,Evaluation Accounts,Funded Accounts,Operator Checklist,Technical References
docs/safe_cleanup.md,2025-10-01 18:53:33,1664,Safe Cleanup Script (`safe_cleanup.sh`),Contents,Quick Start,Behavior Matrix,Exit Codes & Return Behavior
docs/simulator/overview.md,2025-09-20 08:58:23,120,Prism Apex Risk Simulator,What It Does,How to Use,Design,Outputs
docs/strategy-switcher/guide.md,2025-09-20 08:58:23,146,Strategy Switcher — Operator Guide,What This Does,Plain English,How to Use,
docs/telemetry.md,2025-09-20 08:58:23,164,Telemetry (Demo),Configuration,API,Dashboard,Buffer Cleared
docs/tickets.md,2025-09-20 08:58:23,418,,,,,
